#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
107,Brunei ,"261,440",,225                                ,,"243,601",,"17,614",3,"586,937",505,"717,784","1,611,437","445,431 ",Asia,,"21,9801",,,"39,544"
108,Zimbabwe,"259,356",,"5,622                                ",,"253,061",,673,12,"16,917",367,"2,525,756","164,744","15,331,428 ",Africa,,"592,7276",,,44
109,Uzbekistan,"248,503",,"1,637                                ",,"241,486",,"5,380",23,"7,228",48,"1,377,915","40,077","34,382,084 ",Asia,,"13821,00325",,,156
110,Mozambique,"230,816",,"2,229                                ",,"228,466",,121,11,"6,976",67,"1,371,127","41,437","33,089,461 ",Africa,,"14314,84524",,,4
111,Martinique,"224,826",,"1,076                                ",,N/A,N/A,N/A,8,"600,999","2,876","828,928","2,215,870","374,087 ",North America,,23480,,,"597,845"
112,Laos,"217,373",+41,758                                ,,N/A,N/A,N/A,,"29,057",101,"1,233,207","164,845","7,481,023 ",Asia,,"349,8696",5,,"27,931"
113,Iceland,"207,771",,229                                ,,N/A,N/A,N/A,2,"601,550",663,"1,996,384","5,780,036","345,393 ",Europe,,"21,5080",,,"381,759"
114,Afghanistan,"206,879",,"7,843                                ",,"184,439",,"14,597","1,124","5,076",192,"1,168,330","28,668","40,754,388 ",Asia,,"1975,19635",,,358
115,Kyrgyzstan,"206,553",,"2,991                                ",,"196,406",,"7,156",131,"30,699",445,"1,907,195","283,460","6,728,271 ",Asia,,"332,2504",,,"1,064"
116,El Salvador,"201,785",,"4,230                                ",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467","6,550,389 ",North America,,"321,5493",,,"2,770"
117,Guadeloupe,"198,608",,997                                ,,N/A,N/A,N/A,19,"496,776","2,494","938,039","2,346,306","399,794 ",North America,,24010,,,"488,654"
118,Trinidad and Tobago,"185,708",,"4,271                                ",,"181,221",,216,8,"132,028","3,036","873,978","621,347","1,406,585 ",North America,,83292,,,154
119,Maldives,"185,651",,311                                ,,"163,687",,"21,653",25,"343,172",575,"2,213,831","4,092,223","540,985 ",Asia,,"31,7400",,,"40,025"
120,Ghana,"171,023",,"1,461                                ",,"169,553",,9,2,"5,279",45,"2,522,707","77,872","32,395,450 ",Africa,,"18922,17313",,,0.3
121,Namibia,"169,946",,"4,080                                ",,"165,826",,40,,"64,523","1,549","1,062,663","403,460","2,633,874 ",Africa,,156462,,,15
122,Uganda,"169,810",,"3,630                                ",,"100,431",,"65,749",3,"3,506",75,"3,012,408","62,198","48,432,863 ",Africa,,"28513,34216",,,"1,358"
123,Jamaica,"152,669",,"3,447                                ",,"101,947",,"47,275",,"51,144","1,155","1,183,986","396,633","2,985,094 ",North America,,208663,,,"15,837"
124,Cambodia,"138,347",,"3,056                                ",,"135,158",,133,,"8,058",178,"3,091,420","180,062","17,168,639 ",Asia,,"1245,6186",,,8
125,Rwanda,"132,811",,"1,467                                ",,"131,112",,232,,"9,765",108,"5,882,479","432,520","13,600,464 ",Africa,,"1029,2712",,,17
126,Cameroon,"123,993",,"1,965                                ",,"118,616",,"3,412",13,"4,442",70,"1,751,774","62,762","27,911,548 ",Africa,,"22514,20416",,,122
127,Malta,"116,059",,811                                ,,"114,628",,620,4,"261,375","1,826","2,094,938","4,717,978","444,033 ",Europe,,45480,,,"1,396"
128,Angola,"104,946",,"1,928                                ",,"102,538",,480,,"2,996",55,"1,499,795","42,818","35,027,343 ",Africa,,"33418,16823",,,14
129,Barbados,"104,944",,568                                ,,"102,435",,"1,941",,"364,360","1,972","784,101","2,722,356","288,023 ",North America,,35070,,,"6,739"
130,Channel Islands,"97,765",,210                                ,,"96,310",,"1,245",,"554,025","1,190","1,252,808","7,099,551","176,463 ",Europe,,28400,,,"7,055"
131,French Guiana,"97,526",,412                                ,,"11,254",,"85,860",3,"310,425","1,311","651,257","2,072,951","314,169 ",South America,,37630,,,"273,292"
132,DRC,"94,714",,"1,457                                ",,"83,804",,"9,453",,994,15,"846,704","8,890","95,240,792 ",Africa,,"1,00665,368112",,,99
133,Senegal,"88,891",,"1,968                                ",,"86,901",,22,,"5,035",111,"1,146,543","64,946","17,653,671 ",Africa,,"1998,97015",,,1
134,Malawi,"88,220",,"2,685                                ",,"85,065",,470,67,"4,371",133,"624,784","30,959","20,180,839 ",Africa,,"2297,51632",,,23
135,Ivory Coast,"87,909",,830                                ,,"87,060",,19,,"3,169",30,"1,658,537","59,784","27,742,298 ",Africa,,"31633,42417",,,0.7
136,Suriname,"81,581",,"1,393                                ",,N/A,N/A,N/A,,"136,690","2,334","239,603","401,459","596,831 ",South America,,74282,,,"51,118"
137,New Caledonia,"78,244",,314                                ,,"76,260",,"1,670",9,"268,958","1,079","98,964","340,182","290,915 ",Australia/Oceania,,49263,,,"5,741"
138,French Polynesia,"77,704",,649                                ,,N/A,N/A,N/A,7,"273,448","2,284",,,"284,164 ",Australia/Oceania,,4438,,,"153,274"
139,Eswatini,"73,962",,"1,422                                ",,"72,461",,79,,"62,425","1,200","1,047,886","884,429","1,184,817 ",Africa,,168331,,,67
140,Guyana,"71,757",,"1,285                                ",,"70,251",,221,,"90,369","1,618","707,973","891,603","794,045 ",South America,,116181,,,278
141,Belize,"69,376",,688                                ,,"68,467",,221,6,"168,311","1,669","576,016","1,397,453","412,190 ",North America,,65991,,,536
142,Fiji,"68,451",,878                                ,,"66,524",,"1,049",,"75,265",965,"666,164","732,478","909,466 ",Australia/Oceania,,"131,0361",,,"1,153"
143,Madagascar,"67,621",,"1,414                                ",,"65,840",,367,,"2,318",48,"519,445","17,803","29,178,077 ",Africa,,"43120,63556",,,13
144,Sudan,"63,663",,"4,992                                ",,"58,136",,535,,"1,384",109,"562,941","12,240","45,992,020 ",Africa,,"7229,21382",,,12
145,Mauritania,"63,425",,997                                ,,"62,423",,5,,"12,939",203,"1,009,957","206,030","4,901,981 ",Africa,,"774,9175",,,1
146,Cabo Verde,"63,150",,412                                ,,"62,649",,89,23,"111,243",726,"401,622","707,482","567,678 ",Africa,,"91,3781",,,157
147,Bhutan,"62,521",,21                                ,,"61,564",,936,,"79,347",27,"2,303,734","2,923,739","787,941 ",Asia,,"1337,5210",,,"1,188"
148,Syria,"57,423",,"3,163                                ",,"54,260",,0,,"2,965",163,"146,269","7,553","19,364,809 ",Asia,,"3376,122132",,,
149,Burundi,"51,018",,38                                ,,"50,638",,342,,"4,041",3,"345,742","27,386","12,624,840 ",Africa,,"247332,23337",,,27
150,Seychelles,"50,355",,172                                ,,"50,026",,157,,"506,457","1,730",,,"99,426 ",Africa,,2578,,,"1,579"
151,Gabon,"48,973",,306                                ,,"48,617",,50,,"21,005",131,"1,621,130","695,306","2,331,533 ",Africa,,"487,6191",,,21
152,Andorra,"47,606",,158                                ,,"47,188",,260,14,"614,564","2,040","249,838","3,225,256","77,463 ",Europe,,24900,,,"3,356"
153,Papua New Guinea,"46,542",,669                                ,,"43,982",,"1,891",7,"5,009",72,"249,149","26,813","9,292,169 ",Australia/Oceania,,"20013,89037",,,204
154,Curaçao,"45,986",,295                                ,,"44,720",,971,3,"277,812","1,782","496,693","3,000,640","165,529 ",North America,,45610,,,"5,866"
155,Aruba,"43,693",,236                                ,,"42,438",,"1,019",2,"406,035","2,193","177,885","1,653,068","107,609 ",North America,,24561,,,"9,469"
156,Mayotte,"41,853",,187                                ,,N/A,N/A,N/A,,"146,207",653,"176,919","618,038","286,259 ",Africa,,"71,5312",,,"135,199"
157,Mauritius,"41,272",,"1,036                                ",,"39,522",,714,,"32,377",813,"358,675","281,374","1,274,727 ",Africa,,"311,2304",,,560
158,Tanzania,"40,806",,845                                ,,N/A,N/A,N/A,7,645,13,,,"63,298,550 ",Africa,,"1,55174,910",,,628
159,Togo,"39,339",,290                                ,,"39,041",,8,,"4,532",33,"803,118","92,516","8,680,837 ",Africa,,"22129,93411",,,0.9
160,Guinea,"38,191",,465                                ,,"37,265",,461,8,"2,754",34,"660,107","47,607","13,865,691 ",Africa,,"36329,81921",,,33
161,Isle of Man,"38,008",,116                                ,,N/A,N/A,N/A,,"443,335","1,353","150,753","1,758,422","85,732 ",Europe,,27391,,,"129,450"
162,Bahamas,"37,491",,833                                ,,"36,366",,292,1,"93,607","2,080","257,839","643,767","400,516 ",North America,,114812,,,729
163,Faeroe Islands,"34,658",,28                                ,,N/A,N/A,N/A,5,"703,959",569,"778,000","15,802,409","49,233 ",Europe,,"11,7580",,,"547,133"
164,Lesotho,"34,490",,706                                ,,"25,980",,"7,804",,"15,852",324,"431,221","198,199","2,175,699 ",Africa,,"633,0825",,,"3,587"
165,Haiti,"33,876",,860                                ,,"32,934",,82,,"2,900",74,"132,422","11,337","11,680,283 ",North America,,"34513,58288",,,7
166,Mali,"32,764",,743                                ,,"31,944",,77,,"1,526",35,"780,062","36,326","21,473,764 ",Africa,,"65528,90128",,,4
167,Cayman Islands,"31,359",,36                                ,,"8,553",,"22,770",1,"466,118",535,"222,773","3,311,280","67,277 ",North America,,"21,8690",,,"338,451"
168,Saint Lucia,"29,550",,404                                ,,"29,095",,51,,"159,632","2,182","210,983","1,139,752","185,113 ",North America,,64581,,,276
169,Benin,"27,980",,163                                ,,"27,746",,71,5,"2,189",13,"604,310","47,268","12,784,726 ",Africa,,"45778,43421",,,6
170,Somalia,"27,300",,"1,361                                ",,"13,182",,"12,757",,"1,621",81,"400,466","23,778","16,841,795 ",Africa,,"61712,37542",,,757
171,Congo,"25,375",,386                                ,,"24,006",,983,,"4,377",67,"347,815","59,991","5,797,805 ",Africa,,"22815,02017",,,170
172,Solomon Islands,"24,575",,153                                ,,N/A,N/A,N/A,1,"34,077",212,,,"721,159 ",Australia/Oceania,,"294,713",,,"11,183"
173,Timor-Leste,"23,379",,138                                ,,"23,102",,139,,"17,072",101,"278,529","203,391","1,369,429 ",Asia,,"599,9235",,,102
174,San Marino,"22,615",,120                                ,,"22,266",,229,4,"663,488","3,521","157,634","4,624,732","34,085 ",Europe,,22840,,,"6,718"
175,Micronesia,"22,203",,55                                ,,N/A,N/A,N/A,1,"188,979",468,"21,923","186,596","117,489 ",Australia/Oceania,,"52,1365",,,"187,030"
176,Burkina Faso,"21,631",,387                                ,,"21,143",,101,,979,18,"248,995","11,265","22,102,838 ",Africa,,"1,02257,11389",,,5
177,Liechtenstein,"21,124",,88                                ,,"20,947",,89,,"550,290","2,292","112,457","2,929,559","38,387 ",Europe,,24360,,,"2,318"
178,Gibraltar,"20,207",,110                                ,,"16,579",,"3,518",,"599,543","3,264","534,283","15,852,213","33,704 ",Europe,,23060,,,"104,379"
179,Grenada,"19,613",,237                                ,,"19,358",,18,4,"172,840","2,089","182,981","1,612,523","113,475 ",North America,,64791,,,159
180,Bermuda,"18,519",,152                                ,,"18,343",,24,,"298,988","2,454","1,019,654","16,462,229","61,939 ",North America,,34070,,,387
181,Nicaragua,"18,491",,225                                ,,"4,225",,"14,041",,"2,728",33,,,"6,779,100 ",North America,,"36730,129",,,"2,071"
182,South Sudan,"18,368",,138                                ,,"18,115",,115,1,"1,581",12,"410,280","35,313","11,618,511 ",Africa,,"63384,19228",,,10
183,Tajikistan,"17,786",,125                                ,,"17,264",,397,,"1,786",13,,,"9,957,464 ",Asia,,"56079,660",,,40
184,Equatorial Guinea,"17,186",,183                                ,,"16,880",,123,5,"11,483",122,"365,697","244,342","1,496,662 ",Africa,,"878,1784",,,82
185,Tonga,"16,182",,12                                ,,"15,638",,532,,"150,182",111,"535,009","4,965,327","107,749 ",Australia/Oceania,,"78,9790",,,"4,937"
186,Samoa,"15,967",,29                                ,,"1,605",,"14,333",4,"78,951",143,"187,397","926,612","202,239 ",Australia/Oceania,,"136,9741",,,"70,872"
187,Monaco,"15,816",,63                                ,,"15,649",,104,4,"397,557","1,584","78,646","1,976,875","39,783 ",Europe,,36311,,,"2,614"
188,Dominica,"15,760",,74                                ,,"15,673",,13,,"217,848","1,023","229,344","3,170,187","72,344 ",North America,,59780,,,180
189,Djibouti,"15,690",,189                                ,,"15,427",,74,,"15,441",186,"305,941","301,094","1,016,097 ",Africa,,"655,3763",,,73
190,Marshall Islands,"15,547",,17                                ,,"15,390",,140,22,"258,871",283,,,"60,057 ",Australia/Oceania,,"43,533",,,"2,331"
191,CAR,"15,311",,113                                ,,"14,615",,583,2,"3,052",23,"81,294","16,205","5,016,678 ",Africa,,"32844,39562",,,116
192,Gambia,"12,586",,372                                ,,"12,189",,25,,"4,919",145,"155,686","60,851","2,558,482 ",Africa,,"2036,87816",,,10
193,Saint Martin,"12,104",,63                                ,,"1,399",,"10,642",7,"304,656","1,586","112,382","2,828,643","39,730 ",North America,,36310,,,"267,858"
194,Greenland,"11,971",,21                                ,,"2,761",,"9,189",4,"210,117",369,"164,926","2,894,810","56,973 ",North America,,"52,7130",,,"161,287"
195,Vanuatu,"11,952",,14                                ,,"11,937",,1,,"37,137",44,"24,976","77,606","321,832 ",Australia/Oceania,,"2722,98813",,,3
196,Yemen,"11,945",,"2,159                                ",,"9,124",,662,23,383,69,"329,592","10,579","31,154,867 ",Asia,,"2,60814,43095",,,21
197,Caribbean Netherlands,"11,474",,36                                ,,"10,476",,962,,"430,593","1,351","30,126","1,130,559","26,647 ",North America,,27401,,,"36,102"
198,Sint Maarten,"10,964",,89                                ,,"10,873",,2,,"249,375","2,024","62,056","1,411,454","43,966 ",North America,,44941,,,45
199,Eritrea,"10,189",,103                                ,,"10,086",,0,,"2,782",28,"23,693","6,470","3,662,244 ",Africa,,"35935,556155",,,
200,Niger,"9,931",,312                                ,,"8,890",,729,1,381,12,"254,538","9,759","26,083,660 ",Africa,,"2,62683,601102",,,28
201,St. Vincent Grenadines,"9,500",,116                                ,,"9,361",,23,,"85,163","1,040","112,841","1,011,564","111,551 ",North America,,129621,,,206
202,Antigua and Barbuda,"9,106",,146                                ,,"8,954",,6,1,"91,509","1,467","18,901","189,943","99,509 ",North America,,116825,,,60
203,Comoros,"8,979",,161                                ,,"8,812",,6,,"9,895",177,,,"907,419 ",Africa,,"1015,636",,,7
204,Guinea-Bissau,"8,848",,176                                ,,"8,642",,30,6,"4,288",85,"145,231","70,385","2,063,367 ",Africa,,"23311,72414",,,15
205,Liberia,"8,041",,294                                ,,"7,727",,20,2,"1,516",55,"139,824","26,356","5,305,117 ",Africa,,"66018,04538",,,4
206,Sierra Leone,"7,760",,126                                ,,N/A,N/A,N/A,,934,15,"259,958","31,296","8,306,436 ",Africa,,"1,07065,92432",,,330
207,Chad,"7,648",,194                                ,,"4,874",,"2,580",,439,11,"191,341","10,988","17,413,580 ",Africa,,"2,27789,76191",,,148
208,British Virgin Islands,"7,305",,64                                ,,N/A,N/A,N/A,,"238,757","2,092","107,339","3,508,269","30,596 ",North America,,44780,,,392
209,Saint Kitts and Nevis,"6,552",,46                                ,,"6,482",,24,,"121,624",854,"124,861","2,317,778","53,871 ",North America,,"81,1710",,,446
210,Turks and Caicos,"6,463",,36                                ,,"6,395",,32,4,"162,628",906,"550,265","13,846,280","39,741 ",North America,,"61,1040",,,805
211,Cook Islands,"6,389",,1                                ,,"6,384",,4,,"363,610",57,"19,690","1,120,596","17,571 ",Australia/Oceania,,"317,5711",,,228
212,Sao Tome and Principe,"6,279",,77                                ,,"6,202",,0,,"27,578",338,"29,036","127,530","227,679 ",Africa,,"362,9578",,,
213,Palau,"5,933",,9                                ,,"5,747",,177,1,"325,399",494,"68,050","3,732,244","18,233 ",Australia/Oceania,,"32,0260",,,"9,708"
214,St. Barth,"5,382",,6                                ,,N/A,N/A,N/A,,"541,176",603,"78,646","7,908,095","9,945 ",North America,,"21,6580",,,"494,118"
215,Nauru,"4,621",,1                                ,,"4,609",,11,,"423,828",92,"20,509","1,881,042","10,903 ",Australia/Oceania,,"210,9031",,,"1,009"
216,Anguilla,"3,904",,12                                ,,"3,879",,13,4,"256,336",788,"51,382","3,373,736","15,230 ",North America,,"41,2690",,,854
217,Kiribati,"3,430",,13                                ,,"2,703",,714,3,"27,792",105,,,"123,419 ",Australia/Oceania,,"369,494",,,"5,785"
218,Saint Pierre Miquelon,"3,306",,2                                ,,"2,449",,855,1,"574,058",347,"25,300","4,393,124","5,759 ",North America,,"22,8800",,,"148,463"
219,Tuvalu,"2,805",, ,,,,"2,805",,"232,471",,,,"12,066 ",Australia/Oceania,,4,,,"232,471"
220,Falkland Islands,"1,930",, ,,"1,930",,0,,"545,352",,"8,632","2,439,107","3,539 ",South America,,20,,,
221,Saint Helena,"1,806",, ,,2,,"1,804",,"295,339",,,,"6,115 ",Africa,,3,,,"295,012"
222,Montserrat,"1,403",,8                                ,,"1,376",,19,,"282,578","1,611","17,762","3,577,442","4,965 ",North America,,46210,,,"3,827"
223,Macao,"1,254",,7                                ,,854,,393,,"1,879",10,"7,850","11,760","667,490 ",Asia,,"53295,35685",,,589
224,Wallis and Futuna,761,,7                                ,,438,,316,,"69,295",637,"20,508","1,867,419","10,982 ",Australia/Oceania,,"141,5691",,,"28,774"
225,Diamond Princess,712,,13                                ,,699,,0,,,,,, ,,,,,,
226,Niue,212,, ,,182,,30,,"130,703",,,,"1,622 ",Australia/Oceania,,8,,,"18,496"
227,Vatican City,29,, ,,29,,0,,"36,295",,,,799 ,Europe,,28,,,
228,Western Sahara,10,,1                                ,,9,,0,,16,2,,,"626,161 ",Africa,,"62,616626,161",,,
229,MS Zaandam,9,,2                                ,,7,,0,,,,,, ,,,,,,
230,China,"374,075","+2,157","5,235                                ",,"334,119","+2,145","34,721",193,258,4,"160,000,000","110,461","1,448,471,400                                ",Asia,,"3,872276,6909",1,,24
